,tree_picture,image_path,tree_dbh,PARENT_KEY,tape,measured_dbh,range
0,1675934453966.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675934453966.jpg,38.5,uuid:dd297526-8c25-4739-bd7b-da6f60ff5af8,diameter,38.5,35-40
15,1675844836804.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675844836804.jpg,5.0,uuid:aa6aedb8-d5d5-47ce-a31b-e0195ddde8b6,diameter,5.0,05-10
23,1675329532298.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675329532298.jpg,12.9,uuid:54a42cb8-66c8-4509-8ba7-1705b1d2cfd6,diameter,12.9,10-15
43,1675149973263.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675149973263.jpg,38.0,uuid:0574b702-01e8-4ef7-87ad-7d30c1c20057,diameter,38.0,35-40
50,1675323368595.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675323368595.jpg,7.0,uuid:7ce914ce-02c3-4a64-8769-06dbbb377a79,diameter,7.0,05-10
52,1675151880339.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675151880339.jpg,18.8,uuid:322afc3d-8be0-4320-869a-b2024d2bf4d7,diameter,18.8,15-20
57,1675067300145.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675067300145.jpg,32.6,uuid:35df0193-0607-4c25-a80c-17a009e06a30,diameter,32.6,30-35
59,1675066636293.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675066636293.jpg,31.9,uuid:1209d0ec-5f83-4a36-85ba-f2a5b8c92295,diameter,31.9,30-35
81,1675241273322.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675241273322.jpg,7.2,uuid:ba33f134-09b4-4e41-9bfa-4e0ed467043e,diameter,7.2,05-10
88,1675243085843.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675243085843.jpg,30.0,uuid:ba33f134-09b4-4e41-9bfa-4e0ed467043e,diameter,30.0,30-35
90,1675241150827.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675241150827.jpg,5.5,uuid:d84582df-f066-4400-add0-15df9b324047,diameter,5.5,05-10
95,1675243337239.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675243337239.jpg,20.0,uuid:d84582df-f066-4400-add0-15df9b324047,diameter,20.0,20-25
96,1675243009164.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675243009164.jpg,28.5,uuid:47651e50-eabb-4239-b47a-075776665cea,diameter,28.5,25-30
97,1675152461176.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152461176.jpg,29.9,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,29.9,25-30
100,1675153330423.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153330423.jpg,20.7,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,20.7,20-25
102,1675153742115.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153742115.jpg,25.1,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,25.1,25-30
103,1675153957278.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153957278.jpg,21.2,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,21.2,20-25
107,1675154754917.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675154754917.jpg,16.3,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,16.3,15-20
110,1675155330498.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675155330498.jpg,15.8,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,15.8,15-20
113,1675156069612.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675156069612.jpg,7.6,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,7.6,05-10
117,1675157080525.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675157080525.jpg,34.3,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,34.3,30-35
118,1675157721989.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675157721989.jpg,40.7,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,40.7,40-45
119,1675157923438.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675157923438.jpg,35.1,uuid:6f13b97b-7e48-4b5d-8aea-cda39170d65f,diameter,35.1,35-40
126,1675155455964.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675155455964.jpg,15.8,uuid:e9790002-e1b7-46fe-bf86-bb721fc63f18,diameter,15.8,15-20
127,1675154580779.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675154580779.jpg,19.9,uuid:a7cebc93-dbcf-4778-a006-b8381880957e,diameter,19.9,15-20
129,1675153341027.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153341027.jpg,6.6,uuid:fcce8df8-5663-4d5c-aad5-34251ce15ba7,diameter,6.6,05-10
130,1675153601942.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153601942.jpg,14.0,uuid:01d70ec0-4395-409b-8c3b-0fba1db901b4,diameter,14.0,10-15
131,1675153749619.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153749619.jpg,12.2,uuid:01d70ec0-4395-409b-8c3b-0fba1db901b4,diameter,12.2,10-15
132,1675153881209.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675153881209.jpg,14.8,uuid:01d70ec0-4395-409b-8c3b-0fba1db901b4,diameter,14.8,10-15
133,1675154247927.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675154247927.jpg,18.0,uuid:01d70ec0-4395-409b-8c3b-0fba1db901b4,diameter,18.0,15-20
139,1675155930289.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675155930289.jpg,36.9,uuid:01d70ec0-4395-409b-8c3b-0fba1db901b4,diameter,36.9,35-40
143,1675152484862.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152484862.jpg,18.5,uuid:a2b3d66a-e0e2-4b58-86a5-3a08f9529833,diameter,18.5,15-20
144,1675152298141.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152298141.jpg,28.3,uuid:1ebd490b-1b36-4148-8e93-06f9950ffb3b,diameter,28.3,25-30
145,1675152045531.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675152045531.jpg,23.6,uuid:382528df-e6c6-401d-b886-2f3f7c3b8199,diameter,23.6,20-25
149,1675151023805.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675151023805.jpg,7.2,uuid:80110948-c00a-443e-b02d-bfa4e405fa88,diameter,7.2,05-10
152,1675150063936.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675150063936.jpg,26.45,uuid:c558c642-891f-4dc4-a737-34c7ac446daf,diameter,26.45,25-30
153,1675151454814.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675151454814.jpg,25.0,uuid:bbdd32c2-91ae-43b5-a4e0-654979704899,diameter,25.0,25-30
156,1675149279494.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675149279494.jpg,16.7,uuid:ad3eb860-dd35-4ee1-a487-96de5ba1045f,diameter,16.7,15-20
157,1675074379053.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675074379053.jpg,30.5,uuid:f811104a-80a8-4cd8-aedb-2ea6e0a337d6,diameter,30.5,30-35
162,1675075079668.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675075079668.jpg,13.5,uuid:6bfaadc6-90f3-4a11-9068-35a4013b12c8,diameter,13.5,10-15
164,1675074558302.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675074558302.jpg,21.0,uuid:ecd93e60-0781-480e-922c-6ce4dc393c74,diameter,21.0,20-25
165,1675073152067.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073152067.jpg,35.9,uuid:e3a418c0-c64d-4518-bbe5-3ee8604de819,diameter,35.9,35-40
167,1675073824182.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073824182.jpg,15.9,uuid:5637e6df-bb23-43a8-9c24-8fe2fb9ac3dd,diameter,15.9,15-20
170,1675073200688.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675073200688.jpg,23.2,uuid:ef067801-2721-4c00-b1c7-b95f290b3644,diameter,23.2,20-25
174,1675070421123.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675070421123.jpg,10.85,uuid:669418b3-ea10-4028-bd8f-57d864c19fe4,diameter,10.85,10-15
177,1675068233188.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675068233188.jpg,14.9,uuid:cedb1118-affa-4039-aade-897b2a28d71e,diameter,14.9,10-15
179,1675068894089.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675068894089.jpg,25.7,uuid:cedb1118-affa-4039-aade-897b2a28d71e,diameter,25.7,25-30
193,1675064041673.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064041673.jpg,20.1,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,20.1,20-25
194,1675064237905.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064237905.jpg,14.7,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,14.7,10-15
195,1675064522777.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064522777.jpg,24.7,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,24.7,20-25
196,1675064768693.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675064768693.jpg,9.1,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,9.1,05-10
200,1675065957914.jpg,/Users/edwardamoah/Documents/GitHub/pv_mrv/statistical_analysis/data/odk_data/media/1675065957914.jpg,10.4,uuid:50bf72d2-0d1c-4b3c-b825-618b93bab527,diameter,10.4,10-15
